$ pinctrl -c bcm2712
0, GPIO0, gpio, BSC_M3_SDA, VC_SDA0, GPCLK0, ENET0_LINK, VC_PWM1_0, VC_SPI0_CE1_N, IR_IN, -
1, GPIO1, gpio, BSC_M3_SCL, VC_SCL0, GPCLK1, ENET0_ACTIVITY, VC_PWM1_1, SR_EDM_SENSE, VC_SPI0_CE0_N, VC_TXD3
2, GPIO2, gpio, PDM_CLK, I2S_CLK0_IN, GPCLK2, VC_SPI4_CE1_N, PKT_CLK0, VC_SPI0_MISO, VC_RXD3, -
3, GPIO3, gpio, PDM_DATA0, I2S_LR0_IN, VC_SPI4_CE0_N, PKT_SYNC0, VC_SPI0_MOSI, VC_CTS3, -, -
4, GPIO4, gpio, PDM_DATA1, I2S_DATA0_IN, ARM_RTCK, VC_SPI4_MISO, PKT_DATA0, VC_SPI0_SCLK, VC_RTS3, -
5, GPIO5, gpio, PDM_DATA2, VC_SCL3, ARM_TRST, SD_CARD_LED_E, VC_SPI4_MOSI, PKT_CLK1, VC_PCM_CLK, VC_SDA5
6, GPIO6, gpio, PDM_DATA3, VC_SDA3, ARM_TCK, SD_CARD_WPROT_E, VC_SPI4_SCLK, PKT_SYNC1, VC_PCM_FS, VC_SCL5
7, GPIO7, gpio, I2S_CLK0_OUT, SPDIF_OUT, ARM_TDI, SD_CARD_PRES_E, VC_SDA3, ENET0_RGMII_START_STOP, VC_PCM_DIN, VC_SPI4_CE1_N
8, GPIO8, gpio, I2S_LR0_OUT, AUD_FS_CLK0, ARM_TMS, SD_CARD_VOLT_E, VC_SCL3, ENET0_MII_TX_ERR, VC_PCM_DOUT, VC_SPI4_CE0_N
9, GPIO9, gpio, I2S_DATA0_OUT, AUD_FS_CLK0, ARM_TDO, SD_CARD_PWR0_E, ENET0_MII_RX_ERR, SD_CARD_VOLT_C, VC_SPI4_SCLK, -
10, GPIO10, gpio, BSC_M3_SCL, MTSIF_DATA4_ALT1, I2S_CLK0_IN, I2S_CLK0_OUT, VC_SPI5_CE1_N, ENET0_MII_CRS, SD_CARD_PWR0_C, VC_SPI4_MOSI
11, GPIO11, gpio, BSC_M3_SDA, MTSIF_DATA5_ALT1, I2S_LR0_IN, I2S_LR0_OUT, VC_SPI5_CE0_N, ENET0_MII_COL, SD_CARD_PRES_C, VC_SPI4_MISO
12, GPIO12, gpio, SPI_S_SS0B, MTSIF_DATA6_ALT1, I2S_DATA0_IN, I2S_DATA0_OUT, VC_SPI5_MISO, VC_I2CSL_MOSI, SD0_CLK, SD_CARD_VOLT_D
13, GPIO13, gpio, SPI_S_MISO, MTSIF_DATA7_ALT1, I2S_DATA1_OUT, USB_VBUS_PRESENT, VC_SPI5_MOSI, VC_I2CSL_CE_N, SD0_CMD, SD_CARD_PWR0_D
14, GPIO14, gpio, SPI_S_MOSI_OR_BSC_S_SDA, VC_I2CSL_SCL_SCLK, ENET0_RGMII_RX_OK, ARM_TCK, VC_SPI5_SCLK, VC_PWM0_0, VC_SDA4, SD_CARD_PRES_D
15, GPIO15, gpio, SPI_S_SCK_OR_BSC_S_SCL, VC_I2CSL_SDA_MISO, VC_SPI3_CE1_N, ARM_TMS, VC_PWM0_1, VC_SCL4, GPCLK0, -
16, GPIO16, gpio, SD_CARD_PRES_B, I2S_CLK0_OUT, VC_SPI3_CE0_N, I2S_CLK0_IN, SD0_DAT0, ENET0_RGMII_MDIO, GPCLK1, -
17, GPIO17, gpio, SD_CARD_WPROT_B, I2S_LR0_OUT, VC_SPI3_MISO, I2S_LR0_IN, EXT_SC_CLK, SD0_DAT1, ENET0_RGMII_MDC, GPCLK2
18, GPIO18, gpio, SD_CARD_LED_B, I2S_DATA0_OUT, VC_SPI3_MOSI, I2S_DATA0_IN, SD0_DAT2, ENET0_RGMII_IRQ, VC_PWM1_0, -
19, GPIO19, gpio, SD_CARD_VOLT_B, USB_PWRFLT, VC_SPI3_SCLK, PKT_DATA1, SPDIF_OUT, SD0_DAT3, IR_IN, VC_PWM1_1
20, GPIO20, gpio, SD_CARD_PWR0_B, UUI_TXD, VC_TXD0, ARM_TMS, UART_TXD_2, USB_PWRON, VC_PCM_CLK, VC_TXD4
21, GPIO21, gpio, USB_PWRFLT, UUI_RXD, VC_RXD0, ARM_TCK, UART_RXD_2, SD_CARD_VOLT_B, VC_PCM_FS, VC_RXD4
22, GPIO22, gpio, USB_PWRON, ENET0_LINK, VC_CTS0, MTSIF_ATS_RST, UART_RTS_2, USB_VBUS_PRESENT, VC_PCM_DIN, VC_SDA5
23, GPIO23, gpio, USB_VBUS_PRESENT, ENET0_ACTIVITY, VC_RTS0, MTSIF_ATS_INC, UART_CTS_2, I2S_DATA2_OUT, VC_PCM_DOUT, VC_SCL5
24, GPIO24, gpio, MTSIF_ATS_RST, PKT_CLK0, UART_RTS_0, ENET0_RGMII_RX_CLK, ENET0_RGMII_START_STOP, VC_SDA4, VC_TXD3, -
25, GPIO25, gpio, MTSIF_ATS_INC, PKT_SYNC0, SC0_CLK, UART_CTS_0, ENET0_RGMII_RX_EN_CTL, ENET0_RGMII_RX_OK, VC_SCL4, VC_RXD3
26, GPIO26, gpio, MTSIF_DATA1, PKT_DATA0, SC0_IO, UART_TXD_0, ENET0_RGMII_RXD_00, VC_TXD4, VC_SPI5_CE0_N, -
27, GPIO27, gpio, MTSIF_DATA2, PKT_CLK1, SC0_AUX1, UART_RXD_0, ENET0_RGMII_RXD_01, VC_RXD4, VC_SPI5_SCLK, -
28, GPIO28, gpio, MTSIF_CLK, PKT_SYNC1, SC0_AUX2, ENET0_RGMII_RXD_02, VC_CTS4, VC_SPI5_MOSI, -, -
29, GPIO29, gpio, MTSIF_DATA0, PKT_DATA1, SC0_PRES, ENET0_RGMII_RXD_03, VC_RTS4, VC_SPI5_MISO, -, -
30, GPIO30, gpio, MTSIF_SYNC, PKT_CLK2, SC0_RST, SD2_CLK, ENET0_RGMII_TX_CLK, GPCLK0, VC_PWM0_0, -
31, GPIO31, gpio, MTSIF_DATA3, PKT_SYNC2, SC0_VCC, SD2_CMD, ENET0_RGMII_TX_EN_CTL, VC_SPI3_CE1_N, VC_PWM0_1, -
32, GPIO32, gpio, MTSIF_DATA4, PKT_DATA2, SC0_VPP, SD2_DAT0, ENET0_RGMII_TXD_00, VC_SPI3_CE0_N, VC_TXD3, -
33, GPIO33, gpio, MTSIF_DATA5, PKT_CLK3, SD2_DAT1, ENET0_RGMII_TXD_01, VC_SPI3_SCLK, VC_RXD3, -, -
34, GPIO34, gpio, MTSIF_DATA6, PKT_SYNC3, EXT_SC_CLK, SD2_DAT2, ENET0_RGMII_TXD_02, VC_SPI3_MOSI, VC_SDA5, -
35, GPIO35, gpio, MTSIF_DATA7, PKT_DATA3, SD2_DAT3, ENET0_RGMII_TXD_03, VC_SPI3_MISO, VC_SCL5, -, -
36, GPIO36, gpio, SD0_CLK, MTSIF_ATS_RST, SC0_RST, I2S_DATA1_IN, VC_TXD3, VC_TXD2, -, -
37, GPIO37, gpio, SD0_CMD, MTSIF_ATS_INC, SC0_VCC, VC_SPI0_CE1_N, I2S_DATA2_IN, VC_RXD3, VC_RXD2, -
38, GPIO38, gpio, SD0_DAT0, MTSIF_DATA4_ALT, SC0_VPP, VC_SPI0_CE0_N, I2S_DATA3_IN, VC_CTS3, VC_RTS2, -
39, GPIO39, gpio, SD0_DAT1, MTSIF_DATA5_ALT, SC0_CLK, VC_SPI0_MISO, VC_RTS3, VC_CTS2, -, -
40, GPIO40, gpio, SD0_DAT2, MTSIF_DATA6_ALT, SC0_IO, VC_SPI0_MOSI, BSC_M3_SDA, -, -, -
41, GPIO41, gpio, SD0_DAT3, MTSIF_DATA7_ALT, SC0_PRES, VC_SPI0_SCLK, BSC_M3_SCL, -, -, -
